title,link,root cause,bug-triggering pattern
[Inductor] [CPU] Accuracy failure in torchbench model hf_BigBird,https://github.com/pytorch/pytorch/issues/94268,Faulty Symbolic-Variable Resolving,No minimal reproducer
[Inductor] [CPU] Accuracy failure in timm model eca_halonext26ts,https://github.com/pytorch/pytorch/issues/94269,Incorrect Kernel Code Generation,No minimal reproducer
[Inductor] CPP backend could link to the wrong utility function to convert a flag value to float,https://github.com/pytorch/pytorch/issues/94725,Incorrect Kernel Code Generation,No minimal reproducer
`torch.compile` returns inconsistent value `MaxPool` when `ceil_mode = True`,https://github.com/pytorch/pytorch/issues/94775,Incorrect Operator Decomposition,Parameterized Operator
`torch.ge` produces wrong results in compile mode when given int tensors,https://github.com/pytorch/pytorch/issues/95695,Incorrect Operand Type-Promotion,Mixed-dtype Operands
`torch.compile` silently produces wrong answer when compiling functions with (unrolled) loop,https://github.com/pytorch/pytorch/issues/96064,Unsound Graph Optimization,Optimization-Triggering Sequence
inductor: align baddbmm behavior with eager mode for beta=0 and input has nan value,https://github.com/pytorch/pytorch/pull/96087,Incorrect Operator Decomposition,Parameterized Operator
[Inductor] Fix the incorrect fusion if a Conv/Linear moduel is called from multiple places,https://github.com/pytorch/pytorch/pull/96485,Unsound Graph Optimization,Optimization-Triggering Sequence
[Inductor] Wrong results for neg + uint8 on CUDA,https://github.com/pytorch/pytorch/issues/96604,Incorrect Kernel Code Generation,Boundary-Value Input
torch.abs gives negative results for typecasted tensors after compilation,https://github.com/pytorch/pytorch/issues/96694,External Dependency and Toolchain Misuse,Boundary-Value Input
Redundant statement leads to wrong output,https://github.com/pytorch/pytorch/issues/96728,Broken Aliasing and Mutation Semantics,Aliased Mutation
Inconsitent results before/after compilation for squeeze + tensor mutation + if statement,https://github.com/pytorch/pytorch/issues/97083,Broken Aliasing and Mutation Semantics,Aliased Mutation
Inconsistent behaviours when padding size is zero,https://github.com/pytorch/pytorch/issues/97117,Incorrect Operator Decomposition,Parameterized Operator
Inconsistent results when mutating a tensor with shared storage in a nested function,https://github.com/pytorch/pytorch/issues/97130,Broken Aliasing and Mutation Semantics,Aliased Mutation
torch.compile doesn't respect resize_() on graph inputs,https://github.com/pytorch/pytorch/issues/97921,Unfaithful Program Tracing,Non-Tensor Construct
[pt2] `add` + `unfold` + `abs_` produces wrong results,https://github.com/pytorch/pytorch/issues/98143,Broken Aliasing and Mutation Semantics,Aliased Mutation
[pt2] `pow` + `cos` produces wrong result,https://github.com/pytorch/pytorch/issues/98149,Incorrect Kernel Code Generation,Mixed-dtype Operands
[torch.compile] `Linear+Relu` * 3 will return different value than without compilation,https://github.com/pytorch/pytorch/issues/98852,Unfaithful Program Tracing,Non-Tensor Construct
[torch.compile] WRONG VALUE for `split+cat`,https://github.com/pytorch/pytorch/issues/99686,Unsound Graph Optimization,Optimization-Triggering Sequence
[torch.compile] returns wrong value for conditional mask tensor operation (tensor with different shape and different value),https://github.com/pytorch/pytorch/issues/100224,Broken Aliasing and Mutation Semantics,Aliased Mutation
[torch.compile] returns NaN for `tensor.mul(big_number).softmax()`,https://github.com/pytorch/pytorch/issues/100775,External Dependency and Toolchain Misuse,Environment-Dependent
`torch.compile` produce wrong backward gradient result in `pad` when `mode=reflect`,https://github.com/pytorch/pytorch/issues/100793,Incorrect Operator Decomposition,Parameterized Operator
[cpu inductor] where is silently incorrect when SIMD code is generated.,https://github.com/pytorch/pytorch/issues/100800,Incorrect Kernel Code Generation,Boundary-Value Input
[torch.compile] returns WRONG VALUE for `batch_norm` with different shape,https://github.com/pytorch/pytorch/issues/100970,Incorrect Operator Decomposition,Parameterized Operator
[torch.compile] returns inconsistent value `AvgPool` when `ceil_mode = True`,https://github.com/pytorch/pytorch/issues/100987,Incorrect Operator Decomposition,Parameterized Operator
[torch.compile] the sum of `softmax` isn't `1` on cuda,https://github.com/pytorch/pytorch/issues/101039,Incorrect Operator Decomposition,Parameterized Operator
[torch.compile] ModuleList does not correctly test for truth,https://github.com/pytorch/pytorch/issues/102315,Unfaithful Program Tracing,Non-Tensor Construct
autograd.Function that returns input as-is is silently incorrect with torch.compile,https://github.com/pytorch/pytorch/issues/102970,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
[Dynamo] VariableTracker.recursively_contains doesn't get update correctly when mutation happens,https://github.com/pytorch/pytorch/issues/103563,Unfaithful Program Tracing,Non-Tensor Construct
Wrong functionalization of as_strided leads to wrong results,https://github.com/pytorch/pytorch/issues/104505,Broken Aliasing and Mutation Semantics,Aliased Mutation
[torch.compile] `sfdp_replacement_1` returns NaN for the model,https://github.com/pytorch/pytorch/issues/105190,Incorrect Operator Decomposition,Optimization-Triggering Sequence
Dynamo silently ignores TorchDispatchMode,https://github.com/pytorch/pytorch/issues/105929,Unfaithful Program Tracing,Non-Tensor Construct
[Dynamo] torch.manual_seed ignored,https://github.com/pytorch/pytorch/issues/107187,Unfaithful Program Tracing,Non-Tensor Construct
Silent correctness issue if input tensors have existing storage offsets,https://github.com/pytorch/pytorch/issues/108472,Broken Aliasing and Mutation Semantics,Aliased Mutation
[Inductor][Compile]torch.compile remembers the old weight for evaluation if grad is disabled and it runs on CPU,https://github.com/pytorch/pytorch/issues/108863,Unsound Compilation-Reuse Identity,Stateful Re-execution
[dynamo] Missing guard on global function,https://github.com/pytorch/pytorch/issues/108898,Unsound Compilation-Reuse Identity,Stateful Re-execution
[inductor] Function returns wrong value,https://github.com/pytorch/pytorch/issues/108963,Broken Aliasing and Mutation Semantics,Aliased Mutation
[torch.compile] returns different value/type tensor with naive execution,https://github.com/pytorch/pytorch/issues/109925,Incorrect Operand Type-Promotion,Optimization-Triggering Sequence
Mismatch results of index_add_ between torch.compile Inductor backend and eager mode,https://github.com/pytorch/pytorch/issues/111133,Broken Aliasing and Mutation Semantics,Aliased Mutation
Custom FFT implementation returns unexpected results when using torch.compile,https://github.com/pytorch/pytorch/issues/111884,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
Behavior Discrepancy Between Eager Mode and Optimized Mode for torch.abs with transposed out,https://github.com/pytorch/pytorch/issues/113010,Broken Aliasing and Mutation Semantics,Aliased Mutation
Discrepancy Between Eager Mode and Optimized Mode Results for hinge_embedding_loss,https://github.com/pytorch/pytorch/issues/113012,External Dependency and Toolchain Misuse,Environment-Dependent
Inconsistent Behavior Between Eager Execution and Compiled Execution for adaptive_avg_pool1d and argmax,https://github.com/pytorch/pytorch/issues/113013,Incorrect Kernel Code Generation,Boundary-Value Input
Inconsistent output of torch.nn.Conv2d with torch.compile over multiple runs,https://github.com/pytorch/pytorch/issues/113018,Incorrect Layout Propagation,Parameterized Operator
"Mismatching behaviour of tensor assignment ""a.data = b"" between torch.compile and eager execution",https://github.com/pytorch/pytorch/issues/113030,Unfaithful Program Tracing,Non-Tensor Construct
Output mismatch of torch.sum with torch.compile when swapping the input parameters of torch.mul on CPU,https://github.com/pytorch/pytorch/issues/113141,Incorrect Kernel Code Generation,Boundary-Value Input
different outputs on `torch.asinh` between eager mode and torch.compile,https://github.com/pytorch/pytorch/issues/113151,Incorrect Kernel Code Generation,Boundary-Value Input
Different behaviors on`torch.var_mean` with torch.compile(default mode),https://github.com/pytorch/pytorch/issues/113167,Incorrect Operator Decomposition,Parameterized Operator
compiling double inplace clamp on strides produces wrong result with static shapes,https://github.com/pytorch/pytorch/issues/113641,Broken Aliasing and Mutation Semantics,Aliased Mutation
[Inductor][gpu][miscompile] Outputs of torch.div abnormally change when adding an extra torch.cat node to output,https://github.com/pytorch/pytorch/issues/114020,Broken Aliasing and Mutation Semantics,Aliased Mutation
Mutation after `tensor.expand` returns wrong result.,https://github.com/pytorch/pytorch/issues/114302,Broken Aliasing and Mutation Semantics,Aliased Mutation
inductor silently ignores clone followed by a reshape,https://github.com/pytorch/pytorch/issues/114464,Broken Aliasing and Mutation Semantics,Aliased Mutation
[inductor] `torch.var` unexpectedly returns NaN values on A16 and A2,https://github.com/pytorch/pytorch/issues/114903,Incorrect Operator Decomposition,Parameterized Operator
[Inductor][miscompile] Input of torch.add abnormally changed when processing complex64 data,https://github.com/pytorch/pytorch/issues/115071,Unsound Graph Optimization,Optimization-Triggering Sequence
[Inductor][cpu][miscompile] Outputs of torch.tan abnormally change when adding an intermediate result as output,https://github.com/pytorch/pytorch/issues/115260,Incorrect Operand Type-Promotion,Optimization-Triggering Sequence
[Inductor][cpu][miscompile] Outputs of torch.matmul abnormally change with extra outputs,https://github.com/pytorch/pytorch/issues/115261,External Dependency and Toolchain Misuse,Environment-Dependent
"Dynamo'ing Rprop, RMSprop, and Adadelta misses incrementing step due to skipping _init_group",https://github.com/pytorch/pytorch/issues/115679,Unfaithful Program Tracing,Non-Tensor Construct
"Inductor can return a tensor with different output strides, even with layout optimization disabled",https://github.com/pytorch/pytorch/issues/116433,Incorrect Layout Propagation,Optimization-Triggering Sequence
Starting on 11/21 nightlies with inference_mode() gives black images using diffusers SD,https://github.com/pytorch/pytorch/issues/116848,Incorrect Operator Decomposition,No minimal reproducer
Compiled Transformer AOT Autograd graph Accuracy Failed,https://github.com/pytorch/pytorch/issues/116935,External Dependency and Toolchain Misuse,No minimal reproducer
different outputs of torch.diag_embed between torch.compile mode and eagermode,https://github.com/pytorch/pytorch/issues/117019,Incorrect Operator Decomposition,Parameterized Operator
Inconsistency error with `torch.sinh` and `torch.relu` in PyTorch Model,https://github.com/pytorch/pytorch/issues/117544,Incorrect Kernel Code Generation,Boundary-Value Input
`torch.roll` with `fill_` produces wrong outputs for specific input shapes,https://github.com/pytorch/pytorch/issues/117778,External Dependency and Toolchain Misuse,Aliased Mutation
Inconsistency bug in `torch.bitwise_right_shift` in torch.compile,https://github.com/pytorch/pytorch/issues/118265,Incorrect Kernel Code Generation,Boundary-Value Input
Inconsistency with torch.log1p combined with torch.argmax in torch.compile,https://github.com/pytorch/pytorch/issues/118266,Incorrect Kernel Code Generation,Boundary-Value Input
Inconsistency with `torch.acosh` with torch.compile,https://github.com/pytorch/pytorch/issues/118267,Incorrect Kernel Code Generation,Boundary-Value Input
Dynamo x autograd.Function: silently ignores all of the ctx.methods,https://github.com/pytorch/pytorch/issues/118396,Unfaithful Program Tracing,Non-Tensor Construct
torch.compile accuracy issue when graph outputs are DTensors with _Partial placements,https://github.com/pytorch/pytorch/issues/119485,Unfaithful Program Tracing,Non-Tensor Construct
[torch.compile] `fuse_attention` returns inconsistent value for the model,https://github.com/pytorch/pytorch/issues/121174,Incorrect Layout Propagation,Layout-Constraint Chain
[torch.compile] `merge_stack_tahn_unbind` returns a tensor with wrong values,https://github.com/pytorch/pytorch/issues/121227,Unsound Graph Optimization,Optimization-Triggering Sequence
fma can cause drastically worse precision in torch.compile/Triton,https://github.com/pytorch/pytorch/issues/122260,Incorrect Kernel Code Generation,Boundary-Value Input
[torch.compile] `split_cat_norm` and `cat_mutated` cause the optimized model to return a tensor with wrong shape,https://github.com/pytorch/pytorch/issues/122379,Unfaithful Program Tracing,Non-Tensor Construct
[torch.compile] `conv_add` optimization will omit the `alpha` argument,https://github.com/pytorch/pytorch/issues/122382,Unsound Graph Optimization,Optimization-Triggering Sequence
[NestedTensor] torch.compile silent specialization on _max_seqlen,https://github.com/pytorch/pytorch/issues/124205,Faulty Symbolic-Variable Resolving,Stateful Re-execution
torch.compile + constructing an nn.Parameter + mutating it can give wrong results,https://github.com/pytorch/pytorch/issues/125284,Broken Aliasing and Mutation Semantics,Aliased Mutation
"`torch.compile` gives correct index values (if those are returned), but not the indexed values.",https://github.com/pytorch/pytorch/issues/125387,Faulty Symbolic-Variable Resolving,Stateful Re-execution
torch.compile (inductor) bug random signed number generation,https://github.com/pytorch/pytorch/issues/127310,Incorrect Kernel Code Generation,Boundary-Value Input
Incorrect output from inductor: tile -> as_strided -> add,https://github.com/pytorch/pytorch/issues/127474,Broken Aliasing and Mutation Semantics,Aliased Mutation
Gumbel Vector Quantizer produces NaN when using with torch.compile,https://github.com/pytorch/pytorch/issues/127749,Incorrect Operator Decomposition,Parameterized Operator
nondeterminism in torch.compile + custom op,https://github.com/pytorch/pytorch/issues/127995,Unfaithful Program Tracing,Non-Tensor Construct
torch.compile fails to preserve gradients when an input requiring grad is mutated,https://github.com/pytorch/pytorch/issues/128035,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
Wrong result for Inplace tensor update on transpose for some devices with torch 2.3.0,https://github.com/pytorch/pytorch/issues/128202,Broken Aliasing and Mutation Semantics,Aliased Mutation
user-defined triton kernels + inductor stride re-ordering can lead to silent incorrectness,https://github.com/pytorch/pytorch/issues/130243,Unfaithful Program Tracing,Non-Tensor Construct
capture_dynamic_output_shape_ops=True changing expected output between eager and compiled versions,https://github.com/pytorch/pytorch/issues/130290,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
torch.library.custom_op with mutated inputs can have silent incorrectness under torch.compile,https://github.com/pytorch/pytorch/issues/130487,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
[dynamo] map in dynamo doesn't return an iterable,https://github.com/pytorch/pytorch/issues/130750,Unfaithful Program Tracing,Non-Tensor Construct
torch.compile for torch.cumsum returns nans sometimes with all inf inputs,https://github.com/pytorch/pytorch/issues/132107,Incorrect Kernel Code Generation,Boundary-Value Input
triton kernels (and maybe custom ops) that mutate multiple inputs silently incorrect with torch.compile,https://github.com/pytorch/pytorch/issues/132196,Broken Aliasing and Mutation Semantics,Aliased Mutation
torch.ops.fsdp.set_  on input doesn't actually modify the input (under torch.compile),https://github.com/pytorch/pytorch/issues/132197,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
torch.ops.fsdp.set_ with torch.compile silently incorrect,https://github.com/pytorch/pytorch/issues/132200,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
Cannot override __add__ in NamedTuple with __new__ + torch.compile,https://github.com/pytorch/pytorch/issues/133762,Unfaithful Program Tracing,Non-Tensor Construct
Significant Accuracy Difference between Compiled and Eager Flex Attention,https://github.com/pytorch/pytorch/issues/135161,Unfaithful Program Tracing,Non-Tensor Construct
torch.compile cannot handle torch.Tensor correctly,https://github.com/pytorch/pytorch/issues/135432,Faulty Symbolic-Variable Resolving,Stateful Re-execution
Inconsistent Tensor._version Behaviour with torch.compile(),https://github.com/pytorch/pytorch/issues/135441,Unfaithful Program Tracing,Non-Tensor Construct
triton_helpers.bucketize_binary_search does not support strided tensors,https://github.com/pytorch/pytorch/issues/135873,External Dependency and Toolchain Misuse,Boundary-Value Input
NaN in Flex Attention backward if BlockMask is larger than first run seq_len when return_lse=True and torch compiled,https://github.com/pytorch/pytorch/issues/136232,Incorrect Kernel Code Generation,Parameterized Operator
torch.compiled custom Triton kernels can output incorrect results,https://github.com/pytorch/pytorch/issues/136550,Unfaithful Program Tracing,Non-Tensor Construct
Composition of torch.compile and torch.func.grad silently produces a wrong result.,https://github.com/pytorch/pytorch/issues/136662,Broken Aliasing and Mutation Semantics,Aliased Mutation
Caching problem when using the inductor's pattern matcher in pytorch 2.5,https://github.com/pytorch/pytorch/issues/136883,Unsound Compilation-Reuse Identity,Stateful Re-execution
[torch.addmm] [torch.cat] Abnormal random output when using torch.compile(),https://github.com/pytorch/pytorch/issues/137254,Unsound Graph Optimization,Optimization-Triggering Sequence
Dynamo fails to propagate updates to nonlocal variables across different functions,https://github.com/pytorch/pytorch/issues/138112,Unfaithful Program Tracing,Non-Tensor Construct
Output mismatch between torch.compile and eager mode,https://github.com/pytorch/pytorch/issues/138908,Broken Aliasing and Mutation Semantics,Aliased Mutation
[triton 3.2] inductor cumsum w/ upstream triton fails accuracy and device asserts,https://github.com/pytorch/pytorch/issues/139348,External Dependency and Toolchain Misuse,Environment-Dependent
Flex attention returns zeros for batch dimensions > 0 in certain cases,https://github.com/pytorch/pytorch/issues/139462,Incorrect Layout Propagation,Layout-Constraint Chain
[Inductor] `FractionalMaxPool2d` triggers inconsistent results when using `torch.compile()`,https://github.com/pytorch/pytorch/issues/141538,Incorrect Operator Decomposition,Parameterized Operator
compiling attention layer with dynamic shapes yields nans,https://github.com/pytorch/pytorch/issues/141710,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
torch.compile for division gives different numeric output vs eager mode division: torch.tensor/torch.tensor,https://github.com/pytorch/pytorch/issues/141753,Incorrect Kernel Code Generation,Boundary-Value Input
[Inductor] [CPU] `torch.asinh` outputs `-inf` when using inductor on CPU,https://github.com/pytorch/pytorch/issues/142345,Incorrect Kernel Code Generation,Boundary-Value Input
"[Inductor] [CPU] `config.fallback_random = True` has a negative effect for `nn.Dropout1d`, `nn.Dropout2d`, and `nn.Dropout3d` on CPU",https://github.com/pytorch/pytorch/issues/142853,Incorrect Operator Decomposition,Parameterized Operator
[Inductor] [CPU] `nn.LayerNorm` outputs numerical error compared with eager,https://github.com/pytorch/pytorch/issues/143182,Incorrect Kernel Code Generation,Boundary-Value Input
aot_eager causes CPU RNG behavior to change,https://github.com/pytorch/pytorch/issues/143431,Unsound Graph Optimization,Optimization-Triggering Sequence
[Inductor] [CPU] [silent] `bitwise_right_shift` outputs wrong results when `other==64`,https://github.com/pytorch/pytorch/issues/143555,Incorrect Kernel Code Generation,Boundary-Value Input
torch.special.polygamma outputs incorrect when using torch.compile,https://github.com/pytorch/pytorch/issues/143648,Incorrect Kernel Code Generation,Boundary-Value Input
[inductor] [cpu] [silent] `avg_pool2d` incorrectly process int64,https://github.com/pytorch/pytorch/issues/143738,Incorrect Operator Decomposition,Parameterized Operator
torch.dist is more numerical unstable on scalar input after torch.compile,https://github.com/pytorch/pytorch/issues/143960,Incorrect Operator Decomposition,Parameterized Operator
Wrong meta function for constant_pad_nd,https://github.com/pytorch/pytorch/issues/144187,Incorrect Operator Decomposition,Environment-Dependent
[Inductor][GPU] Input is padded with incorrect value when executing `torch.nn.functional.pad` on gpu,https://github.com/pytorch/pytorch/issues/144462,External Dependency and Toolchain Misuse,Parameterized Operator
inductor `full_like` decompositions give incorrect strides,https://github.com/pytorch/pytorch/issues/144699,Incorrect Layout Propagation,Parameterized Operator
torch.logit works incorrectly when input < eps after torch.compile,https://github.com/pytorch/pytorch/issues/145379,Incorrect Operator Decomposition,Parameterized Operator
Constant folding pass leads to model inference errors,https://github.com/pytorch/pytorch/issues/145697,Unsound Graph Optimization,Non-Tensor Construct
[MPSInductor] Compiled lgamma produces different results on M2 vs M4 for float16,https://github.com/pytorch/pytorch/issues/145735,External Dependency and Toolchain Misuse,Environment-Dependent
torch.bucketize works incorrectly on uint input with negative boundaries after torch.compile-gpu,https://github.com/pytorch/pytorch/issues/145929,Incorrect Operand Type-Promotion,Mixed-dtype Operands
Silent correctness bug in Inductor when fusing transpose into other ops,https://github.com/pytorch/pytorch/issues/146416,Incorrect Layout Propagation,Layout-Constraint Chain
`F.interpolate()` + `torch.compile(dynamic=True)` produces wrong shape,https://github.com/pytorch/pytorch/issues/147261,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
assert fails to trigger inside torch.compile,https://github.com/pytorch/pytorch/issues/147282,Unfaithful Program Tracing,Non-Tensor Construct
polygamma is less precise on torch.compile when n == 1,https://github.com/pytorch/pytorch/issues/147450,Incorrect Kernel Code Generation,Boundary-Value Input
[inductor][user triton] comprehensive_padding + user-defined triton kernels can produce wrong results,https://github.com/pytorch/pytorch/issues/147828,Unfaithful Program Tracing,Non-Tensor Construct
[inductor] [cpu] `nn.Tanhshrink-atan2` output inconsistent results with eager,https://github.com/pytorch/pytorch/issues/148241,Incorrect Kernel Code Generation,Boundary-Value Input
"Inductor layout constraints for custom operators changed from 2.5->2.6, breaking BC",https://github.com/pytorch/pytorch/issues/148356,Unfaithful Program Tracing,Non-Tensor Construct
[dynamo] register_module_forward_pre_hook lead to compiled model produce wrong inference results,https://github.com/pytorch/pytorch/issues/149502,Unfaithful Program Tracing,Non-Tensor Construct
Dynamo has limited support for `__instancecheck__` in meta types,https://github.com/pytorch/pytorch/issues/149991,Unfaithful Program Tracing,Non-Tensor Construct
Backed size oblivious not working as expected,https://github.com/pytorch/pytorch/issues/150184,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
OLMo in-loop evals change with `torch.compile()` in 2.7.0,https://github.com/pytorch/pytorch/issues/150516,Broken Aliasing and Mutation Semantics,No minimal reproducer
torch.compile on MPS: rms_norm not invoked,https://github.com/pytorch/pytorch/issues/150629,Incorrect Operator Decomposition,Parameterized Operator
torch.compile failed to handle a custom __delattr__ method correctly,https://github.com/pytorch/pytorch/issues/150765,Unfaithful Program Tracing,Non-Tensor Construct
precision error for attention like-operation,https://github.com/pytorch/pytorch/issues/151098,Unsound Graph Optimization,Optimization-Triggering Sequence
Wrong handling of deferred  == and != runtime checks in torch.compile!,https://github.com/pytorch/pytorch/issues/151127,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
Inductor doesn't support tensor.view(dtype).copy_(...),https://github.com/pytorch/pytorch/issues/151156,Broken Aliasing and Mutation Semantics,Aliased Mutation
[inductor] [silent incorrectness] `torch.nn.PairwiseDistance(p=2)` outputs incorrect results with eager,https://github.com/pytorch/pytorch/issues/151198,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
[inductor] [cpu] `torch.outer` outputs inconsistent res when input tesnor is very large,https://github.com/pytorch/pytorch/issues/151400,Incorrect Kernel Code Generation,Boundary-Value Input
[inductor] [silent incorrectness] Multiple internal `torch.rand` can lead to inconsistent results with eager,https://github.com/pytorch/pytorch/issues/151524,Unsound Graph Optimization,Non-Tensor Construct
[inductor] [silent incorrectness] [dtype processing] `torch.clamp` can't implicitly covert `int64`,https://github.com/pytorch/pytorch/issues/151744,Incorrect Operand Type-Promotion,Mixed-dtype Operands
Expanding subset of tensor reads wrong memory,https://github.com/pytorch/pytorch/issues/151799,Broken Aliasing and Mutation Semantics,Stateful Re-execution
[MPS/Inductor] polygamma is miscompiled for some inputs,https://github.com/pytorch/pytorch/issues/152205,Incorrect Kernel Code Generation,Environment-Dependent
Softmax Decomp Causes Incorrect Gradients when Using `torch.compile` with `F.multi_head_attention_forward`,https://github.com/pytorch/pytorch/issues/152309,Incorrect Operator Decomposition,Parameterized Operator
Invalid handling of nans in compiled torch.quantile / torch.nanquantile on cuda,https://github.com/pytorch/pytorch/issues/152423,Incorrect Kernel Code Generation,Boundary-Value Input
Silent incorrectness between static torch.compile vs eager,https://github.com/pytorch/pytorch/issues/152425,Broken Aliasing and Mutation Semantics,Aliased Mutation
Incorrect strides for `nonzero_static` compilation,https://github.com/pytorch/pytorch/issues/152634,Incorrect Layout Propagation,Parameterized Operator
do not reinplace diagonal_scatter,https://github.com/pytorch/pytorch/pull/153107,Broken Aliasing and Mutation Semantics,Aliased Mutation
Compile produces different result than eager for mutable custom op use case,https://github.com/pytorch/pytorch/issues/153389,Broken Aliasing and Mutation Semantics,Aliased Mutation
Set inplace operations are not updating the set inplace,https://github.com/pytorch/pytorch/issues/153552,Unfaithful Program Tracing,Non-Tensor Construct
torch.linalg.vector_norm regression in torch.compile in PT2.8,https://github.com/pytorch/pytorch/issues/153568,Incorrect Operator Decomposition,Parameterized Operator
[MPS] Fix float64 scalar tensor handling,https://github.com/pytorch/pytorch/pull/153582,External Dependency and Toolchain Misuse,Environment-Dependent
torch._higher_order_ops.scan incorrect/mismatched gradients for non-trailing layers with torch.compile,https://github.com/pytorch/pytorch/issues/153679,Unfaithful Program Tracing,No minimal reproducer
[MPSInductor] Fix indexing calculation,https://github.com/pytorch/pytorch/pull/153997,Incorrect Kernel Code Generation,Environment-Dependent
